STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-27,0.626,2.796
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-28,0.726,2.782
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-29,0.741,2.445
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-01,0.621,4.646
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-02,0.462,6.893
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-03,0.606,4.892
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-04,0.655,5.366
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-05,0.619,7.718
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-06,0.853,5.011
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-07,0.968,5.92
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-08,1.111,7.368
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-09,1.148,5.588
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-10,1.031,6.901
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-11,0.876,5.699
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-12,0.991,9.282
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-13,1.271,2.651
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-14,1.434,2.218
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-15,1.465,1.8
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-16,1.059,1.586
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-17,0.866,1.441
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-18,0.955,2.0
